sentence,intents
welcome,greetings
how would you say fly in italian,translate
whats the spanish word for pasta,translate
how would they say butter in zambia,translate
how do you say fast in spanish,translate
whats the word for tree in norway,translate
how doe one say wonderful in german,translate
how do they say taco in mexico,translate
how would one say cruiser in china,translate
whats the french word you use for potato,translate
what would the word for grass be in finland,translate
how do you say please in french,translate
how would i say nice to meet you if i were russian,translate
what is the right way to say excuse me in spanish,translate
how do i say im sorry in chinese,translate
how would i say thank you if i were mexican,translate
how would i say what is your name if i were french,translate
how would i say i must be going now if i were german,translate
how do i say bathroom in italian,translate
how might i say hello if i were scottish,translate
i must know how to say thank you in german,translate
how would i say i love you if i were german,translate
how would i say how are you today if i were mexican,translate
how would i say where is the bathroom if i were korean,translate
how would i say i need direction if i were french,translate
how would i say i am lost if i were japanese,translate
english to spanish for dog,translate
what is dog in spanish,translate
how do you say dog in spanish,translate
dog in spanish,translate
whats the spanish word for dog,translate
can you please provide me with assistance in moving money from one account to another,transfer
i would like help moving money between account,transfer
can you assist me in moving money from one account to another,transfer
i would like help moving money from one account to another,transfer
i would like assistance moving money from one account to another,transfer
can i move some money around,transfer
can i make a transfer between my account,transfer
i need to make a transfer of my money,transfer
can i move some money between my two account,transfer
i would like to distribute some money between my account,transfer
i would like to transfer 100 from my checking to saving account,transfer
help me transfer 100 from my checking to saving account,transfer
transfer 100 from my checking to saving account,transfer
can you please help me move 100 from my checking to saving account,transfer
please move 100 from my checking to saving account,transfer
transfer seventeen dollar from rb to woodforest account please,transfer
send twelve dollar between cabelas and bank of london account please,transfer
transfer ninety dollar between glacier checking and farmer account please,transfer
transfer seventy dollar between national and citizen account,transfer
transfer four and sixty seven dollar from bank of oklahoma checking to security bank account,transfer
how much money can i transfer today,transfer
add fund to the retirement account from the pnc account only,transfer
would you move 100 dollar from the checking and put it into saving,transfer
repeat what the weather will be like,transfer
i would like to put 100 dollar from the checking into the saving account now,transfer
please transfer 5000 to money market from checking account,transfer
i need 360 transfered from saving to checking account,transfer
make an immediate transfer of ten thousand from money market to checking,transfer
id like to transfer 400 from household to saving account,transfer
transer 800 from my checking to saving account,transfer
set a 4 minute timer,timer
set a 2 minute timer,timer
set a 3 minute timer,timer
set a 5 minute timer,timer
set a 1 minute timer,timer
who set up the number for it,timer
start the timer,timer
start a timer please,timer
i need to start a timer,timer
i need a timer to be set,timer
could you set a timer,timer
set a timer,timer
i need to have a timer for 10 minute,timer
make a 10 minute timer,timer
give me a 10 minute timer,timer
will you create a timer for me,timer
please begin a timer,timer
is it possible to set a timer,timer
i want a timer set for 10 minute,timer
set a timer for 10 minute,timer
can i get a timer set,timer
i need to use a timer,timer
set a timer to go off in 1 hour,timer
i need a timer for 45 minute,timer
in 15 minute the timer should go off,timer
start the timer now,timer
set a timer for 30 minute,timer
set a timer for 5 minute from now,timer
let me know when it been 5 minute,timer
can you set the timer to 20 minute,timer
define antebellum,definition
define discontent,definition
what is the meaning of incandescent,definition
what doe confrontation mean,definition
what doe serendipity mean,definition
whats the definition of luminescent,definition
what is the definiton of auspicious,definition
what doe circuitous mean,definition
whats the definition of unencumbered,definition
what doe adulation mean,definition
what doe assiduous mean,definition
what doe amicable mean,definition
whats the definition of remunerative,definition
what doe anachronistic mean,definition
whats the definition of idiosyncratic,definition
